,Dataset Size,Privacy
0,26.0,158.6469874795051
1,33.0,110.94837402130528
2,38.0,89.78761936558874
3,42.0,77.27124614660723
4,65.0,40.134865948756136
5,69.0,36.695956780287275
6,73.0,33.721552557029646
7,76.0,31.744717260002183
8,76.0,31.744717260002183
9,95.0,22.71467063036024
10,96.0,22.360679774997898
11,97.0,22.015788799474088
12,99.0,21.352024535783965
13,109.0,18.482133581046668
14,112.0,17.74454295451768
15,114.0,17.279635403539434
16,133.0,13.712428948575594
17,134.0,13.559218342420552
18,137.0,13.11628971843497
19,141.0,12.562127088052904
20,146.0,11.922369242607111
21,149.0,11.564116257414643
22,150.0,11.448668044798923
23,150.0,11.448668044798923
24,156.0,10.794560237624975
25,161.0,10.295632631295577
26,168.0,9.658905768325903
27,171.0,9.405842151111758
28,173.0,9.243207381819511
29,181.0,8.637220153164026
30,181.0,8.637220153164026
31,184.0,8.426847162649548
32,184.0,8.426847162649548
33,186.0,8.291296298348374
34,198.0,7.549080670657193
35,202.0,7.325964292829103
36,208.0,7.01127254134846
37,210.0,6.911350363597297
38,217.0,6.579641799583441
39,221.0,6.401819738789751
40,224.0,6.273643326097713
41,224.0,6.273643326097713
42,225.0,6.2318655431698895
43,229.0,6.069300327209021
44,231.0,5.990649102599041
45,234.0,5.875814351092782
46,237.0,5.7646020614871505
47,242.0,5.586873046369828
48,248.0,5.38535491850518
49,248.0,5.38535491850518
50,255.0,5.165133858409678
51,257.0,5.1049579219729795
52,258.0,5.075306712338407
53,268.0,4.793907618757295
54,276.0,4.586994597535909
55,278.0,4.5375837915460435
56,279.0,4.513210052706773
57,279.0,4.513210052706773
58,279.0,4.513210052706773
59,281.0,4.465112153652567
60,283.0,4.417862535848015
61,284.0,4.394549307219105
62,286.0,4.348533318923384
63,288.0,4.303314829119352
64,290.0,4.258874621148758
65,291.0,4.23694052993277
66,291.0,4.23694052993277
67,292.0,4.215194069628706
68,297.0,4.109199037826121
69,301.0,4.0275608286800955
70,301.0,4.0275608286800955
71,302.0,4.007572956596346
72,302.0,4.007572956596346
73,303.0,3.9877498647290466
74,304.0,3.968089657500273
75,309.0,3.8721674740179
76,310.0,3.853446297836935
77,312.0,3.816453371975645
78,312.0,3.816453371975645
79,312.0,3.816453371975645
80,320.0,3.674234614174767
81,321.0,3.657078672243696
82,327.0,3.556888266071972
83,330.0,3.508495645995795
84,332.0,3.4768401660269017
85,332.0,3.4768401660269017
86,337.0,3.3997501406727384
87,340.0,3.3548528514974376
88,341.0,3.34010625877677
89,342.0,3.325467383910694
90,345.0,3.2821861544046667
91,346.0,3.2679673097990656
92,347.0,3.253850832560974
93,347.0,3.253850832560974
94,355.0,3.144483514053288
95,357.0,3.1180963261980423
96,357.0,3.1180963261980423
97,358.0,3.1050408043969533
98,358.0,3.1050408043969533
99,361.0,3.0664158344071115
100,365.0,3.0161473529740057
101,369.0,2.9672374556732413
102,370.0,2.955216246234808
103,372.0,2.931415918694528
104,375.0,2.8963093757400986
105,377.0,2.873292415155156
106,381.0,2.8281626873263055
107,381.0,2.8281626873263055
108,382.0,2.8170646075337253
109,383.0,2.8060389221882267
110,385.0,2.784202104880619
111,386.0,2.7733896770859934
112,388.0,2.751973599934261
113,388.0,2.751973599934261
114,389.0,2.741368699339633
115,390.0,2.7308317352626665
116,394.0,2.6893511933685095
117,397.0,2.6589250255562504
118,399.0,2.638958181567912
119,401.0,2.619239989774872
120,402.0,2.609472786665805
121,403.0,2.599766136528359
122,404.0,2.5901195150949845
123,404.0,2.5901195150949845
124,407.0,2.561534667196072
125,410.0,2.5334717539923948
126,411.0,2.52423113323585
127,411.0,2.52423113323585
128,411.0,2.52423113323585
129,412.0,2.5150465501554913
130,414.0,2.496843603748014
131,417.0,2.469947767646941
132,417.0,2.469947767646941
133,420.0,2.44353135462788
134,422.0,2.4261808767770345
135,427.0,2.3836914525709587
136,427.0,2.3836914525709587
137,435.0,2.3182377111785497
138,440.0,2.2788347688745896
139,441.0,2.271088025936549
140,443.0,2.255725569125169
141,444.0,2.248109167178536
142,453.0,2.1814464112528906
143,453.0,2.1814464112528906
144,462.0,2.118014302078443
145,463.0,2.111156191104892
146,463.0,2.111156191104892
147,464.0,2.104335011236998
148,468.0,2.07741408632547
149,470.0,2.064168112911978
150,471.0,2.0575978196181146
151,472.0,2.051062308161128
152,474.0,2.0380946042597574
153,489.0,1.9450401162918083
154,491.0,1.933168071014913
155,495.0,1.9097831327702535
156,495.0,1.9097831327702535
157,496.0,1.9040104909856699
158,499.0,1.8868658888811496
159,503.0,1.8644033479933262
160,505.0,1.853338657792377
161,506.0,1.847847286226747
162,517.0,1.7891882487047661
163,525.0,1.7484487085120273
164,532.0,1.7140536185719493
165,541.0,1.671459869881373
166,547.0,1.6440342549807132
167,548.0,1.6395362148043713
168,549.0,1.6350586481737597
169,557.0,1.5999597561480252
170,567.0,1.5578199575982599
171,571.0,1.541479272490274
172,571.0,1.541479272490274
173,582.0,1.497984690099793
174,584.0,1.4902961553258889
175,609.0,1.3994774750533212
176,609.0,1.3994774750533212
177,615.0,1.37904735000784
178,623.0,1.352570097148443
179,631.0,1.3269293885607552
